Location,Status,Time,ID,TempCelsius,Description,Attendence,StageName,Source,Target,DateTime,Winner,HomeTeamGoals,HomeTeamPenalties,AwayTeamGoals,AwayTeamPenalties,HomeTeamEvents,AwayteamEvents
Volgograd,Volgograd Arena,completed,full-time,300331497,32,Sunny,40904,First stage,Nigeria,Iceland,2018-06-22T15:00:00Z,Nigeria,2,0,0,0,yellow-card - substitution-out - substitution-in - goal - goal - substitution-out - substitution-in - substitution-out - substitution-in -  -  - ,substitution-out,substitution-in - substitution-out - substitution-in - substitution-out - substitution-in -  - 
Kaliningrad,Kaliningrad Stadium,completed,full-time,300340183,15,Sunny,33167,First stage,Serbia,Switzerland,2018-06-22T18:00:00Z,Switzerland,1,0,2,0,goal - yellow-card - yellow-card - yellow-card - substitution-out - substitution-in - substitution-out - substitution-in - yellow-card -  -  - ,substitution-out,substitution-in - goal - substitution-out - substitution-in - goal - yellow-card - substitution-out
Moscow,Spartak Stadium,completed,full-time,300331547,28,Partly Cloudy,44190,First stage,Belgium,Tunisia,2018-06-23T12:00:00Z,Belgium,5,0,2,0,goal-penalty - goal - goal - goal - substitution-out - substitution-in - substitution-out - substitution-in - substitution-out - substitution-in - goal - ,yellow-card,goal - substitution-out - substitution-in - substitution-out - substitution-in - substitution-out - substitution-in
Rostov-On-Don,Rostov Arena,completed,full-time,300331549,33,Partly Cloudy,43472,First stage,Korea Republic,Mexico,2018-06-23T15:00:00Z,Mexico,1,0,2,0,yellow-card - yellow-card - substitution-out - substitution-in - yellow-card - substitution-out - substitution-in - yellow-card - substitution-out - substitution-in - goal - ,goal-penalty,goal-penalty - goal - substitution-out - substitution-in - substitution-out - substitution-in - substitution-out
Sochi,Fisht Stadium,completed,full-time,300331501,22,Partly Cloudy Night,44287,First stage,Germany,Sweden,2018-06-23T18:00:00Z,Germany,2,0,1,0,substitution-out - substitution-in - substitution-out - substitution-in - goal - yellow-card - yellow-card-second - substitution-out - substitution-in - goal -  - ,goal,yellow-card - substitution-out - substitution-in - substitution-out - substitution-in - substitution-out - substitution-in
Nizhny Novgorod,Nizhny Novgorod Stadium,completed,full-time,300331546,30,Partly Cloudy,43319,First stage,England,Panama,2018-06-24T12:00:00Z,England,6,0,1,0,goal - goal-penalty - yellow-card - goal - goal - goal-penalty - goal - substitution-out - substitution-out - substitution-in - substitution-in - substitution-out,yellow-card,yellow-card - yellow-card - substitution-out - substitution-in - substitution-out - substitution-in - substitution-out
Ekaterinburg,Ekaterinburg Arena,completed,full-time,300331505,25,Sunny,32572,First stage,Japan,Senegal,2018-06-24T15:00:00Z,Draw,2,0,2,0,goal - yellow-card - substitution-out - substitution-in - substitution-out - substitution-in - goal - substitution-out - substitution-in - yellow-card -  - ,goal,yellow-card - substitution-out - substitution-in - goal - substitution-out - substitution-in - substitution-out
Kazan,Kazan Arena,completed,full-time,300331508,26,Clear Night,42873,First stage,Poland,Colombia,2018-06-24T18:00:00Z,Colombia,0,0,3,0,substitution-out - substitution-in - yellow-card - substitution-out - substitution-in - substitution-out - substitution-in - yellow-card -  -  -  - ,substitution-out,substitution-in - goal - goal - substitution-out - substitution-in - goal - substitution-out
Samara,Samara Arena,completed,full-time,300331516,32,Sunny,41970,First stage,Uruguay,Russia,2018-06-25T14:00:00Z,Uruguay,3,0,0,0,goal - goal - yellow-card - substitution-out - substitution-in - substitution-out - substitution-in - goal - substitution-out - substitution-in -  - ,yellow-card,goal-own - yellow-card - yellow-card-second - substitution-out - substitution-in - substitution-out - substitution-in
Volgograd,Volgograd Arena,completed,full-time,300331509,35,Partly Cloudy,36823,First stage,Saudi Arabia,Egypt,2018-06-25T14:00:00Z,Saudi Arabia,2,0,1,0,goal-penalty - substitution-out - substitution-in - substitution-out - substitution-in - goal -  -  -  -  -  - ,goal,yellow-card - substitution-out - substitution-in - substitution-out - substitution-in - substitution-out - substitution-in
Kaliningrad,Kaliningrad Stadium,completed,full-time,300340184,15,Partly Cloudy Night,33973,First stage,Spain,Morocco,2018-06-25T18:00:00Z,Draw,2,0,2,0,goal - substitution-out - substitution-out - substitution-in - substitution-in - substitution-out - substitution-in - goal - goal -  -  - ,goal,yellow-card - yellow-card - yellow-card - yellow-card - yellow-card - substitution-out - substitution-in
Saransk,Mordovia Arena,completed,full-time,300331500,23,Partly Cloudy Night,41685,First stage,Iran,Portugal,2018-06-25T18:00:00Z,Draw,1,0,1,0,yellow-card - yellow-card - substitution-out - substitution-in - substitution-out - substitution-in - substitution-out - substitution-in - goal-penalty -  -  - ,yellow-card,goal - yellow-card - substitution-out - substitution-in - yellow-card - substitution-out - substitution-in
Moscow,Luzhniki Stadium,completed,full-time,300331512,24,Partly Cloudy,78011,First stage,Denmark,France,2018-06-26T14:00:00Z,Draw,0,0,0,0,yellow-card - substitution-out - substitution-in - substitution-out - substitution-in - substitution-out - substitution-in -  -  -  -  - ,substitution-out,substitution-in - substitution-out - substitution-in - substitution-out - substitution-in -  - 
Sochi,Fisht Stadium,completed,full-time,300331506,30,Partly Cloudy,44073,First stage,Australia,Peru,2018-06-26T14:00:00Z,Peru,0,0,2,0,yellow-card - substitution-out - substitution-in - substitution-out - substitution-in - yellow-card - yellow-card - substitution-out - substitution-in - yellow-card -  - ,goal,yellow-card - substitution-out - substitution-in - goal - substitution-out - substitution-in - substitution-out
Rostov-On-Don,Rostov Arena,completed,full-time,300331510,30,Clear Night,43472,First stage,Iceland,Croatia,2018-06-26T18:00:00Z,Croatia,1,0,2,0,yellow-card - yellow-card - substitution-out - substitution-in - goal-penalty - yellow-card - substitution-out - substitution-in - substitution-out - substitution-in -  - ,yellow-card,goal - substitution-out - substitution-in - substitution-out - substitution-in - substitution-out - substitution-in
